Using device: cuda
Episode 0, Total Reward: 2.0, Total Frames: 23, epsilon 0.9999769999999993
Episode 15379, Total Reward: 1.0, Total Frames: 101434, epsilon 0.8985659999970832
Episode 15380, Total Reward: 0.0, Total Frames: 101436, epsilon 0.8985639999970831
Episode 15381, Total Reward: 1.0, Total Frames: 101448, epsilon 0.8985519999970828
Episode 15382, Total Reward: 0.0, Total Frames: 101450, epsilon 0.8985499999970827
Episode 15383, Total Reward: 0.0, Total Frames: 101452, epsilon 0.8985479999970827
Episode 15384, Total Reward: 0.0, Total Frames: 101454, epsilon 0.8985459999970826
Episode 15385, Total Reward: 1.0, Total Frames: 101465, epsilon 0.8985349999970823
Episode 15386, Total Reward: 0.0, Total Frames: 101467, epsilon 0.8985329999970822
Episode 15387, Total Reward: 0.0, Total Frames: 101469, epsilon 0.8985309999970822
Episode 15388, Total Reward: 0.0, Total Frames: 101471, epsilon 0.8985289999970821
Episode 15389, Total Reward: 1.0, Total Frames: 101482, epsilon 0.8985179999970818
Episode 15390, Total Reward: 0.0, Total Frames: 101484, epsilon 0.8985159999970818
Episode 15391, Total Reward: 1.0, Total Frames: 101496, epsilon 0.8985039999970814
Episode 15392, Total Reward: 0.0, Total Frames: 101498, epsilon 0.8985019999970814
Episode 15393, Total Reward: 2.0, Total Frames: 101516, epsilon 0.8984839999970808
Episode 15394, Total Reward: 0.0, Total Frames: 101518, epsilon 0.8984819999970808
Episode 15395, Total Reward: 0.0, Total Frames: 101527, epsilon 0.8984729999970805
Episode 15396, Total Reward: 0.0, Total Frames: 101529, epsilon 0.8984709999970805
Episode 15397, Total Reward: 0.0, Total Frames: 101531, epsilon 0.8984689999970804
Episode 15398, Total Reward: 0.0, Total Frames: 101533, epsilon 0.8984669999970804
Episode 15399, Total Reward: 3.0, Total Frames: 101571, epsilon 0.8984289999970793
Episode 15400, Total Reward: 0.0, Total Frames: 101573, epsilon 0.8984269999970792
Episode 15401, Total Reward: 0.0, Total Frames: 101575, epsilon 0.8984249999970791
Episode 15402, Total Reward: 0.0, Total Frames: 101577, epsilon 0.8984229999970791
Episode 15403, Total Reward: 1.0, Total Frames: 101590, epsilon 0.8984099999970787
Episode 15404, Total Reward: 0.0, Total Frames: 101592, epsilon 0.8984079999970787
Episode 15405, Total Reward: 1.0, Total Frames: 101604, epsilon 0.8983959999970783
Episode 15406, Total Reward: 0.0, Total Frames: 101606, epsilon 0.8983939999970783
Episode 15407, Total Reward: 0.0, Total Frames: 101608, epsilon 0.8983919999970782
Episode 15408, Total Reward: 0.0, Total Frames: 101610, epsilon 0.8983899999970781
Episode 15409, Total Reward: 0.0, Total Frames: 101612, epsilon 0.8983879999970781
Episode 15410, Total Reward: 2.0, Total Frames: 101630, epsilon 0.8983699999970776
Episode 15411, Total Reward: 0.0, Total Frames: 101632, epsilon 0.8983679999970775
Episode 15412, Total Reward: 1.0, Total Frames: 101643, epsilon 0.8983569999970772
Episode 15413, Total Reward: 0.0, Total Frames: 101645, epsilon 0.8983549999970771
Episode 15414, Total Reward: 1.0, Total Frames: 101657, epsilon 0.8983429999970768
Episode 15415, Total Reward: 1.0, Total Frames: 101671, epsilon 0.8983289999970764
Episode 15416, Total Reward: 0.0, Total Frames: 101673, epsilon 0.8983269999970763
Episode 15417, Total Reward: 2.0, Total Frames: 101691, epsilon 0.8983089999970758
Episode 15418, Total Reward: 0.0, Total Frames: 101693, epsilon 0.8983069999970758
Episode 15419, Total Reward: 1.0, Total Frames: 101705, epsilon 0.8982949999970754
Episode 15420, Total Reward: 1.0, Total Frames: 101728, epsilon 0.8982719999970747
Episode 15421, Total Reward: 0.0, Total Frames: 101730, epsilon 0.8982699999970747
Episode 15422, Total Reward: 0.0, Total Frames: 101732, epsilon 0.8982679999970746
Episode 15423, Total Reward: 0.0, Total Frames: 101734, epsilon 0.8982659999970746
Episode 15424, Total Reward: 0.0, Total Frames: 101736, epsilon 0.8982639999970745
Episode 15425, Total Reward: 0.0, Total Frames: 101738, epsilon 0.8982619999970745
Episode 15426, Total Reward: 0.0, Total Frames: 101740, epsilon 0.8982599999970744
Episode 15427, Total Reward: 0.0, Total Frames: 101742, epsilon 0.8982579999970743
Episode 15428, Total Reward: 0.0, Total Frames: 101744, epsilon 0.8982559999970743
Episode 15429, Total Reward: 1.0, Total Frames: 101755, epsilon 0.898244999997074
Episode 15430, Total Reward: 0.0, Total Frames: 101757, epsilon 0.8982429999970739
Episode 15431, Total Reward: 0.0, Total Frames: 101759, epsilon 0.8982409999970739
Episode 15432, Total Reward: 0.0, Total Frames: 101761, epsilon 0.8982389999970738
Episode 15433, Total Reward: 2.0, Total Frames: 101779, epsilon 0.8982209999970733
Episode 15434, Total Reward: 1.0, Total Frames: 101793, epsilon 0.8982069999970729
Episode 15435, Total Reward: 0.0, Total Frames: 101795, epsilon 0.8982049999970728
Episode 15436, Total Reward: 0.0, Total Frames: 101797, epsilon 0.8982029999970728
Episode 15437, Total Reward: 0.0, Total Frames: 101799, epsilon 0.8982009999970727
Episode 15438, Total Reward: 0.0, Total Frames: 101801, epsilon 0.8981989999970726
Episode 15439, Total Reward: 2.0, Total Frames: 101821, epsilon 0.8981789999970721
Episode 15440, Total Reward: 1.0, Total Frames: 101835, epsilon 0.8981649999970717
Episode 15441, Total Reward: 0.0, Total Frames: 101837, epsilon 0.8981629999970716
Episode 15442, Total Reward: 1.0, Total Frames: 101851, epsilon 0.8981489999970712
Episode 15443, Total Reward: 0.0, Total Frames: 101853, epsilon 0.8981469999970711
Episode 15444, Total Reward: 0.0, Total Frames: 101855, epsilon 0.8981449999970711
Episode 15445, Total Reward: 0.0, Total Frames: 101857, epsilon 0.898142999997071
Episode 15446, Total Reward: 0.0, Total Frames: 101859, epsilon 0.898140999997071
Episode 15447, Total Reward: 1.0, Total Frames: 101872, epsilon 0.8981279999970706
Episode 15448, Total Reward: 0.0, Total Frames: 101874, epsilon 0.8981259999970705
Episode 15449, Total Reward: 1.0, Total Frames: 101887, epsilon 0.8981129999970702
Episode 15450, Total Reward: 0.0, Total Frames: 101909, epsilon 0.8980909999970695
Episode 15451, Total Reward: 0.0, Total Frames: 101911, epsilon 0.8980889999970695
Episode 15452, Total Reward: 2.0, Total Frames: 101930, epsilon 0.8980699999970689
Episode 15453, Total Reward: 0.0, Total Frames: 101932, epsilon 0.8980679999970689
Episode 15454, Total Reward: 2.0, Total Frames: 101950, epsilon 0.8980499999970684
Episode 15455, Total Reward: 0.0, Total Frames: 101952, epsilon 0.8980479999970683
Episode 15456, Total Reward: 0.0, Total Frames: 101954, epsilon 0.8980459999970682
Episode 15457, Total Reward: 0.0, Total Frames: 101956, epsilon 0.8980439999970682
Episode 15458, Total Reward: 0.0, Total Frames: 101958, epsilon 0.8980419999970681
Episode 15459, Total Reward: 1.0, Total Frames: 101969, epsilon 0.8980309999970678
Episode 15460, Total Reward: 0.0, Total Frames: 101971, epsilon 0.8980289999970678
Episode 15461, Total Reward: 0.0, Total Frames: 101973, epsilon 0.8980269999970677
Episode 15462, Total Reward: 0.0, Total Frames: 101975, epsilon 0.8980249999970676
Episode 15463, Total Reward: 0.0, Total Frames: 101977, epsilon 0.8980229999970676
Episode 15464, Total Reward: 0.0, Total Frames: 101979, epsilon 0.8980209999970675
Episode 15465, Total Reward: 1.0, Total Frames: 101990, epsilon 0.8980099999970672
Episode 15466, Total Reward: 0.0, Total Frames: 101997, epsilon 0.898002999997067
Episode 15467, Total Reward: 0.0, Total Frames: 101999, epsilon 0.898000999997067
Episode 15468, Total Reward: 0.0, Total Frames: 102001, epsilon 0.8979989999970669
Episode 15469, Total Reward: 0.0, Total Frames: 102003, epsilon 0.8979969999970668
Episode 15470, Total Reward: 2.0, Total Frames: 102021, epsilon 0.8979789999970663
Episode 15471, Total Reward: 1.0, Total Frames: 102035, epsilon 0.8979649999970659
Episode 15472, Total Reward: 2.0, Total Frames: 102055, epsilon 0.8979449999970653
Episode 15473, Total Reward: 0.0, Total Frames: 102063, epsilon 0.8979369999970651
Episode 15474, Total Reward: 0.0, Total Frames: 102065, epsilon 0.897934999997065
Episode 15475, Total Reward: 1.0, Total Frames: 102079, epsilon 0.8979209999970647
Episode 15476, Total Reward: 0.0, Total Frames: 102081, epsilon 0.8979189999970646
Episode 15477, Total Reward: 0.0, Total Frames: 102083, epsilon 0.8979169999970645
Episode 15478, Total Reward: 0.0, Total Frames: 102085, epsilon 0.8979149999970645
Episode 15479, Total Reward: 0.0, Total Frames: 102087, epsilon 0.8979129999970644
Episode 15480, Total Reward: 1.0, Total Frames: 102105, epsilon 0.8978949999970639
Episode 15481, Total Reward: 0.0, Total Frames: 102116, epsilon 0.8978839999970636
Episode 15482, Total Reward: 0.0, Total Frames: 102118, epsilon 0.8978819999970635
Episode 15483, Total Reward: 0.0, Total Frames: 102127, epsilon 0.8978729999970633
Episode 15484, Total Reward: 0.0, Total Frames: 102134, epsilon 0.8978659999970631
Episode 15485, Total Reward: 0.0, Total Frames: 102136, epsilon 0.897863999997063
Episode 15486, Total Reward: 0.0, Total Frames: 102138, epsilon 0.897861999997063
Episode 15487, Total Reward: 0.0, Total Frames: 102140, epsilon 0.8978599999970629
Episode 15488, Total Reward: 0.0, Total Frames: 102142, epsilon 0.8978579999970628
Episode 15489, Total Reward: 0.0, Total Frames: 102144, epsilon 0.8978559999970628
Episode 15490, Total Reward: 0.0, Total Frames: 102146, epsilon 0.8978539999970627
Episode 15491, Total Reward: 2.0, Total Frames: 102164, epsilon 0.8978359999970622
Episode 15492, Total Reward: 0.0, Total Frames: 102166, epsilon 0.8978339999970621
Episode 15493, Total Reward: 1.0, Total Frames: 102179, epsilon 0.8978209999970618
Episode 15494, Total Reward: 0.0, Total Frames: 102181, epsilon 0.8978189999970617
Episode 15495, Total Reward: 0.0, Total Frames: 102183, epsilon 0.8978169999970617
Episode 15496, Total Reward: 1.0, Total Frames: 102197, epsilon 0.8978029999970613
Episode 15497, Total Reward: 0.0, Total Frames: 102199, epsilon 0.8978009999970612
Episode 15498, Total Reward: 0.0, Total Frames: 102201, epsilon 0.8977989999970611
Episode 15499, Total Reward: 2.0, Total Frames: 102221, epsilon 0.8977789999970606
Episode 15500, Total Reward: 0.0, Total Frames: 102234, epsilon 0.8977659999970602
Episode 15501, Total Reward: 0.0, Total Frames: 102236, epsilon 0.8977639999970601
Episode 15502, Total Reward: 1.0, Total Frames: 102247, epsilon 0.8977529999970598
Episode 15503, Total Reward: 0.0, Total Frames: 102249, epsilon 0.8977509999970598
Episode 15504, Total Reward: 1.0, Total Frames: 102261, epsilon 0.8977389999970594
Episode 15505, Total Reward: 1.0, Total Frames: 102275, epsilon 0.897724999997059
Episode 15506, Total Reward: 0.0, Total Frames: 102277, epsilon 0.897722999997059
Episode 15507, Total Reward: 3.0, Total Frames: 102313, epsilon 0.8976869999970579
Episode 15508, Total Reward: 0.0, Total Frames: 102315, epsilon 0.8976849999970579
Episode 15509, Total Reward: 0.0, Total Frames: 102317, epsilon 0.8976829999970578
Episode 15510, Total Reward: 1.0, Total Frames: 102331, epsilon 0.8976689999970574
Episode 15511, Total Reward: 0.0, Total Frames: 102333, epsilon 0.8976669999970573
Episode 15512, Total Reward: 0.0, Total Frames: 102335, epsilon 0.8976649999970573
Episode 15513, Total Reward: 0.0, Total Frames: 102337, epsilon 0.8976629999970572
Episode 15514, Total Reward: 0.0, Total Frames: 102339, epsilon 0.8976609999970572
Episode 15515, Total Reward: 2.0, Total Frames: 102357, epsilon 0.8976429999970567
Episode 15516, Total Reward: 0.0, Total Frames: 102359, epsilon 0.8976409999970566
Episode 15517, Total Reward: 0.0, Total Frames: 102361, epsilon 0.8976389999970565
Episode 15518, Total Reward: 0.0, Total Frames: 102375, epsilon 0.8976249999970561
Episode 15519, Total Reward: 2.0, Total Frames: 102393, epsilon 0.8976069999970556
Episode 15520, Total Reward: 0.0, Total Frames: 102395, epsilon 0.8976049999970556
Episode 15521, Total Reward: 0.0, Total Frames: 102397, epsilon 0.8976029999970555
Episode 15522, Total Reward: 2.0, Total Frames: 102421, epsilon 0.8975789999970548
Episode 15523, Total Reward: 1.0, Total Frames: 102440, epsilon 0.8975599999970543
Episode 15524, Total Reward: 0.0, Total Frames: 102442, epsilon 0.8975579999970542
Episode 15525, Total Reward: 0.0, Total Frames: 102444, epsilon 0.8975559999970542
Episode 15526, Total Reward: 0.0, Total Frames: 102446, epsilon 0.8975539999970541
Episode 15527, Total Reward: 2.0, Total Frames: 102466, epsilon 0.8975339999970535
Episode 15528, Total Reward: 1.0, Total Frames: 102481, epsilon 0.8975189999970531
Episode 15529, Total Reward: 0.0, Total Frames: 102490, epsilon 0.8975099999970528
Episode 15530, Total Reward: 0.0, Total Frames: 102492, epsilon 0.8975079999970528
Episode 15531, Total Reward: 0.0, Total Frames: 102494, epsilon 0.8975059999970527
Episode 15532, Total Reward: 2.0, Total Frames: 102514, epsilon 0.8974859999970521
Episode 15533, Total Reward: 0.0, Total Frames: 102516, epsilon 0.8974839999970521
Episode 15534, Total Reward: 0.0, Total Frames: 102518, epsilon 0.897481999997052
Episode 15535, Total Reward: 0.0, Total Frames: 102520, epsilon 0.897479999997052
Episode 15536, Total Reward: 0.0, Total Frames: 102522, epsilon 0.8974779999970519
Episode 15537, Total Reward: 0.0, Total Frames: 102524, epsilon 0.8974759999970519
Episode 15538, Total Reward: 1.0, Total Frames: 102537, epsilon 0.8974629999970515
Episode 15539, Total Reward: 0.0, Total Frames: 102539, epsilon 0.8974609999970514
Episode 15540, Total Reward: 0.0, Total Frames: 102541, epsilon 0.8974589999970514
Episode 15541, Total Reward: 0.0, Total Frames: 102543, epsilon 0.8974569999970513
Episode 15542, Total Reward: 0.0, Total Frames: 102545, epsilon 0.8974549999970513
Episode 15543, Total Reward: 2.0, Total Frames: 102565, epsilon 0.8974349999970507
Episode 15544, Total Reward: 0.0, Total Frames: 102567, epsilon 0.8974329999970506
Episode 15545, Total Reward: 0.0, Total Frames: 102569, epsilon 0.8974309999970506
Episode 15546, Total Reward: 1.0, Total Frames: 102583, epsilon 0.8974169999970502
Episode 15547, Total Reward: 0.0, Total Frames: 102585, epsilon 0.8974149999970501
Episode 15548, Total Reward: 0.0, Total Frames: 102587, epsilon 0.89741299999705
Episode 15549, Total Reward: 0.0, Total Frames: 102589, epsilon 0.89741099999705
Episode 15550, Total Reward: 0.0, Total Frames: 102591, epsilon 0.8974089999970499
Episode 15551, Total Reward: 0.0, Total Frames: 102593, epsilon 0.8974069999970499
Episode 15552, Total Reward: 0.0, Total Frames: 102595, epsilon 0.8974049999970498
Episode 15553, Total Reward: 0.0, Total Frames: 102605, epsilon 0.8973949999970495
Episode 15554, Total Reward: 0.0, Total Frames: 102607, epsilon 0.8973929999970495
Episode 15555, Total Reward: 0.0, Total Frames: 102609, epsilon 0.8973909999970494
Episode 15556, Total Reward: 0.0, Total Frames: 102611, epsilon 0.8973889999970494
Episode 15557, Total Reward: 0.0, Total Frames: 102613, epsilon 0.8973869999970493
Episode 15558, Total Reward: 0.0, Total Frames: 102615, epsilon 0.8973849999970492
Episode 15559, Total Reward: 0.0, Total Frames: 102617, epsilon 0.8973829999970492
Episode 15560, Total Reward: 2.0, Total Frames: 102637, epsilon 0.8973629999970486
Episode 15561, Total Reward: 0.0, Total Frames: 102639, epsilon 0.8973609999970485
Episode 15562, Total Reward: 0.0, Total Frames: 102641, epsilon 0.8973589999970485
Episode 15563, Total Reward: 2.0, Total Frames: 102659, epsilon 0.897340999997048
Episode 15564, Total Reward: 0.0, Total Frames: 102661, epsilon 0.8973389999970479
Episode 15565, Total Reward: 1.0, Total Frames: 102673, epsilon 0.8973269999970476
Episode 15566, Total Reward: 0.0, Total Frames: 102675, epsilon 0.8973249999970475
Episode 15567, Total Reward: 0.0, Total Frames: 102677, epsilon 0.8973229999970475
Episode 15568, Total Reward: 0.0, Total Frames: 102679, epsilon 0.8973209999970474
Episode 15569, Total Reward: 2.0, Total Frames: 102697, epsilon 0.8973029999970469
Episode 15570, Total Reward: 0.0, Total Frames: 102705, epsilon 0.8972949999970466
Episode 15571, Total Reward: 0.0, Total Frames: 102707, epsilon 0.8972929999970466
Episode 15572, Total Reward: 0.0, Total Frames: 102709, epsilon 0.8972909999970465
Episode 15573, Total Reward: 0.0, Total Frames: 102711, epsilon 0.8972889999970465
Episode 15574, Total Reward: 0.0, Total Frames: 102713, epsilon 0.8972869999970464
Episode 15575, Total Reward: 0.0, Total Frames: 102715, epsilon 0.8972849999970464
Episode 15576, Total Reward: 0.0, Total Frames: 102717, epsilon 0.8972829999970463
Episode 15577, Total Reward: 0.0, Total Frames: 102719, epsilon 0.8972809999970462
Episode 15578, Total Reward: 1.0, Total Frames: 102733, epsilon 0.8972669999970458
Episode 15579, Total Reward: 1.0, Total Frames: 102749, epsilon 0.8972509999970454
Episode 15580, Total Reward: 1.0, Total Frames: 102770, epsilon 0.8972299999970448
Episode 15581, Total Reward: 3.0, Total Frames: 102802, epsilon 0.8971979999970439
Episode 15582, Total Reward: 0.0, Total Frames: 102810, epsilon 0.8971899999970436
Episode 15583, Total Reward: 0.0, Total Frames: 102812, epsilon 0.8971879999970436
Episode 15584, Total Reward: 2.0, Total Frames: 102830, epsilon 0.897169999997043
Episode 15585, Total Reward: 0.0, Total Frames: 102832, epsilon 0.897167999997043
Episode 15586, Total Reward: 0.0, Total Frames: 102834, epsilon 0.8971659999970429
Episode 15587, Total Reward: 0.0, Total Frames: 102836, epsilon 0.8971639999970429
Episode 15588, Total Reward: 0.0, Total Frames: 102838, epsilon 0.8971619999970428
Episode 15589, Total Reward: 1.0, Total Frames: 102849, epsilon 0.8971509999970425
Episode 15590, Total Reward: 0.0, Total Frames: 102851, epsilon 0.8971489999970425
Episode 15591, Total Reward: 0.0, Total Frames: 102853, epsilon 0.8971469999970424
Episode 15592, Total Reward: 2.0, Total Frames: 102873, epsilon 0.8971269999970418
Episode 15593, Total Reward: 1.0, Total Frames: 102887, epsilon 0.8971129999970414
Episode 15594, Total Reward: 0.0, Total Frames: 102889, epsilon 0.8971109999970414
Episode 15595, Total Reward: 0.0, Total Frames: 102891, epsilon 0.8971089999970413
Episode 15596, Total Reward: 0.0, Total Frames: 102893, epsilon 0.8971069999970412
Episode 15597, Total Reward: 0.0, Total Frames: 102895, epsilon 0.8971049999970412
Episode 15598, Total Reward: 0.0, Total Frames: 102897, epsilon 0.8971029999970411
Episode 15599, Total Reward: 0.0, Total Frames: 102899, epsilon 0.8971009999970411
Episode 15600, Total Reward: 0.0, Total Frames: 102901, epsilon 0.897098999997041
Episode 15601, Total Reward: 0.0, Total Frames: 102903, epsilon 0.897096999997041
Episode 15602, Total Reward: 0.0, Total Frames: 102905, epsilon 0.8970949999970409
Episode 15603, Total Reward: 0.0, Total Frames: 102907, epsilon 0.8970929999970408
Episode 15604, Total Reward: 1.0, Total Frames: 102918, epsilon 0.8970819999970405
Episode 15605, Total Reward: 1.0, Total Frames: 102932, epsilon 0.8970679999970401
Episode 15606, Total Reward: 0.0, Total Frames: 102941, epsilon 0.8970589999970399
Episode 15607, Total Reward: 1.0, Total Frames: 102952, epsilon 0.8970479999970395
Episode 15608, Total Reward: 0.0, Total Frames: 102954, epsilon 0.8970459999970395
Episode 15609, Total Reward: 0.0, Total Frames: 102956, epsilon 0.8970439999970394
Episode 15610, Total Reward: 0.0, Total Frames: 102958, epsilon 0.8970419999970394
Episode 15611, Total Reward: 0.0, Total Frames: 102960, epsilon 0.8970399999970393
Episode 15612, Total Reward: 0.0, Total Frames: 102962, epsilon 0.8970379999970393
Episode 15613, Total Reward: 1.0, Total Frames: 102973, epsilon 0.8970269999970389
Episode 15614, Total Reward: 1.0, Total Frames: 102987, epsilon 0.8970129999970385
Episode 15615, Total Reward: 0.0, Total Frames: 102989, epsilon 0.8970109999970385
Episode 15616, Total Reward: 0.0, Total Frames: 102991, epsilon 0.8970089999970384
Episode 15617, Total Reward: 0.0, Total Frames: 102993, epsilon 0.8970069999970384
Episode 15618, Total Reward: 0.0, Total Frames: 102995, epsilon 0.8970049999970383
Episode 15619, Total Reward: 0.0, Total Frames: 102997, epsilon 0.8970029999970383
Episode 15620, Total Reward: 0.0, Total Frames: 102999, epsilon 0.8970009999970382
Episode 15621, Total Reward: 0.0, Total Frames: 103001, epsilon 0.8969989999970381
Episode 15622, Total Reward: 0.0, Total Frames: 103003, epsilon 0.8969969999970381
Episode 15623, Total Reward: 0.0, Total Frames: 103005, epsilon 0.896994999997038
Episode 15624, Total Reward: 0.0, Total Frames: 103007, epsilon 0.896992999997038
Episode 15625, Total Reward: 2.0, Total Frames: 103025, epsilon 0.8969749999970374
Episode 15626, Total Reward: 0.0, Total Frames: 103027, epsilon 0.8969729999970374
Episode 15627, Total Reward: 0.0, Total Frames: 103029, epsilon 0.8969709999970373
Episode 15628, Total Reward: 0.0, Total Frames: 103031, epsilon 0.8969689999970373
Episode 15629, Total Reward: 1.0, Total Frames: 103042, epsilon 0.896957999997037
Episode 15630, Total Reward: 0.0, Total Frames: 103044, epsilon 0.8969559999970369
Episode 15631, Total Reward: 0.0, Total Frames: 103046, epsilon 0.8969539999970368
Episode 15632, Total Reward: 0.0, Total Frames: 103048, epsilon 0.8969519999970368
Episode 15633, Total Reward: 0.0, Total Frames: 103050, epsilon 0.8969499999970367
Episode 15634, Total Reward: 0.0, Total Frames: 103052, epsilon 0.8969479999970367
Episode 15635, Total Reward: 0.0, Total Frames: 103054, epsilon 0.8969459999970366
Episode 15636, Total Reward: 0.0, Total Frames: 103056, epsilon 0.8969439999970366
Episode 15637, Total Reward: 0.0, Total Frames: 103058, epsilon 0.8969419999970365
Episode 15638, Total Reward: 0.0, Total Frames: 103060, epsilon 0.8969399999970364
Episode 15639, Total Reward: 1.0, Total Frames: 103071, epsilon 0.8969289999970361
Episode 15640, Total Reward: 0.0, Total Frames: 103073, epsilon 0.8969269999970361
Episode 15641, Total Reward: 0.0, Total Frames: 103075, epsilon 0.896924999997036
Episode 15642, Total Reward: 1.0, Total Frames: 103088, epsilon 0.8969119999970356
Episode 15643, Total Reward: 0.0, Total Frames: 103090, epsilon 0.8969099999970356
Episode 15644, Total Reward: 0.0, Total Frames: 103092, epsilon 0.8969079999970355
Episode 15645, Total Reward: 1.0, Total Frames: 103106, epsilon 0.8968939999970351
Episode 15646, Total Reward: 0.0, Total Frames: 103108, epsilon 0.8968919999970351
Episode 15647, Total Reward: 0.0, Total Frames: 103110, epsilon 0.896889999997035
Episode 15648, Total Reward: 0.0, Total Frames: 103118, epsilon 0.8968819999970348
Episode 15649, Total Reward: 0.0, Total Frames: 103120, epsilon 0.8968799999970347
Episode 15650, Total Reward: 0.0, Total Frames: 103122, epsilon 0.8968779999970347
Episode 15651, Total Reward: 0.0, Total Frames: 103124, epsilon 0.8968759999970346
Episode 15652, Total Reward: 1.0, Total Frames: 103137, epsilon 0.8968629999970342
Episode 15653, Total Reward: 0.0, Total Frames: 103144, epsilon 0.896855999997034
Episode 15654, Total Reward: 2.0, Total Frames: 103164, epsilon 0.8968359999970335
Episode 15655, Total Reward: 0.0, Total Frames: 103171, epsilon 0.8968289999970332
Episode 15656, Total Reward: 1.0, Total Frames: 103183, epsilon 0.8968169999970329
Episode 15657, Total Reward: 0.0, Total Frames: 103185, epsilon 0.8968149999970328
Episode 15658, Total Reward: 0.0, Total Frames: 103187, epsilon 0.8968129999970328
Episode 15659, Total Reward: 1.0, Total Frames: 103200, epsilon 0.8967999999970324
Episode 15660, Total Reward: 0.0, Total Frames: 103202, epsilon 0.8967979999970324
Episode 15661, Total Reward: 0.0, Total Frames: 103204, epsilon 0.8967959999970323
Episode 15662, Total Reward: 0.0, Total Frames: 103206, epsilon 0.8967939999970322
Episode 15663, Total Reward: 0.0, Total Frames: 103208, epsilon 0.8967919999970322
Episode 15664, Total Reward: 0.0, Total Frames: 103219, epsilon 0.8967809999970319
Episode 15665, Total Reward: 0.0, Total Frames: 103221, epsilon 0.8967789999970318
Episode 15666, Total Reward: 2.0, Total Frames: 103241, epsilon 0.8967589999970312
Episode 15667, Total Reward: 0.0, Total Frames: 103243, epsilon 0.8967569999970312
Episode 15668, Total Reward: 0.0, Total Frames: 103245, epsilon 0.8967549999970311
Episode 15669, Total Reward: 0.0, Total Frames: 103247, epsilon 0.8967529999970311
Episode 15670, Total Reward: 2.0, Total Frames: 103267, epsilon 0.8967329999970305
Episode 15671, Total Reward: 0.0, Total Frames: 103269, epsilon 0.8967309999970304
Episode 15672, Total Reward: 0.0, Total Frames: 103271, epsilon 0.8967289999970304
Episode 15673, Total Reward: 2.0, Total Frames: 103289, epsilon 0.8967109999970299
Episode 15674, Total Reward: 0.0, Total Frames: 103291, epsilon 0.8967089999970298
Episode 15675, Total Reward: 0.0, Total Frames: 103293, epsilon 0.8967069999970297
Episode 15676, Total Reward: 1.0, Total Frames: 103307, epsilon 0.8966929999970293
Episode 15677, Total Reward: 0.0, Total Frames: 103309, epsilon 0.8966909999970293
Episode 15678, Total Reward: 0.0, Total Frames: 103311, epsilon 0.8966889999970292
Episode 15679, Total Reward: 0.0, Total Frames: 103313, epsilon 0.8966869999970292
Episode 15680, Total Reward: 2.0, Total Frames: 103333, epsilon 0.8966669999970286
Episode 15681, Total Reward: 1.0, Total Frames: 103347, epsilon 0.8966529999970282
Episode 15682, Total Reward: 0.0, Total Frames: 103349, epsilon 0.8966509999970281
Episode 15683, Total Reward: 0.0, Total Frames: 103351, epsilon 0.8966489999970281
Episode 15684, Total Reward: 2.0, Total Frames: 103369, epsilon 0.8966309999970276
Episode 15685, Total Reward: 1.0, Total Frames: 103383, epsilon 0.8966169999970272
Episode 15686, Total Reward: 0.0, Total Frames: 103385, epsilon 0.8966149999970271
Episode 15687, Total Reward: 0.0, Total Frames: 103387, epsilon 0.896612999997027
Episode 15688, Total Reward: 1.0, Total Frames: 103398, epsilon 0.8966019999970267
Episode 15689, Total Reward: 1.0, Total Frames: 103412, epsilon 0.8965879999970263
Episode 15690, Total Reward: 0.0, Total Frames: 103414, epsilon 0.8965859999970263
Episode 15691, Total Reward: 0.0, Total Frames: 103416, epsilon 0.8965839999970262
Episode 15692, Total Reward: 0.0, Total Frames: 103418, epsilon 0.8965819999970261
Episode 15693, Total Reward: 1.0, Total Frames: 103429, epsilon 0.8965709999970258
Episode 15694, Total Reward: 1.0, Total Frames: 103438, epsilon 0.8965619999970256
Episode 15695, Total Reward: 0.0, Total Frames: 103440, epsilon 0.8965599999970255
Episode 15696, Total Reward: 1.0, Total Frames: 103452, epsilon 0.8965479999970252
Episode 15697, Total Reward: 1.0, Total Frames: 103465, epsilon 0.8965349999970248
Episode 15698, Total Reward: 0.0, Total Frames: 103478, epsilon 0.8965219999970244
Episode 15699, Total Reward: 1.0, Total Frames: 103492, epsilon 0.896507999997024
Episode 15700, Total Reward: 0.0, Total Frames: 103494, epsilon 0.896505999997024
Episode 15701, Total Reward: 0.0, Total Frames: 103496, epsilon 0.8965039999970239
Episode 15702, Total Reward: 0.0, Total Frames: 103498, epsilon 0.8965019999970238
Episode 15703, Total Reward: 1.0, Total Frames: 103511, epsilon 0.8964889999970235
Episode 15704, Total Reward: 0.0, Total Frames: 103513, epsilon 0.8964869999970234
Episode 15705, Total Reward: 0.0, Total Frames: 103515, epsilon 0.8964849999970234
Episode 15706, Total Reward: 0.0, Total Frames: 103517, epsilon 0.8964829999970233
Episode 15707, Total Reward: 0.0, Total Frames: 103519, epsilon 0.8964809999970232
Episode 15708, Total Reward: 0.0, Total Frames: 103521, epsilon 0.8964789999970232
Episode 15709, Total Reward: 1.0, Total Frames: 103535, epsilon 0.8964649999970228
Episode 15710, Total Reward: 0.0, Total Frames: 103544, epsilon 0.8964559999970225
